imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0060138,Au hasard Balthazar,Au hasard Balthazar,1966,1966-05-25,Drama,95,"France, Sweden","French, Latin",Robert Bresson,Robert Bresson,Argos Films,"Anne Wiazemsky, Walter Green, François Lafarge, Jean-Claude Guilbert, Philippe Asselin, Pierre Klossowski, Nathalie Joyaut, Marie-Claire Frémont, Jean-Joël Barbier, Guy Renault, Jean Rémignard, Guy Brejac, Mylène Weyergans, Jacques Sorbets, François Sullerot",The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,7.9,15808,,$ 45406,$ 45406,100.0,77.0,109.0
tt0047396,Rear Window,Rear Window,1954,1955-01-07,"Mystery, Thriller",112,USA,English,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich",Alfred J. Hitchcock Productions,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.4,410462,$ 1000000,$ 36764313,$ 37032034,100.0,759.0,145.0
tt0034583,Casablanca,Casablanca,1942,1943-01-23,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,487757,$ 950000,$ 4108411,$ 4374761,100.0,1232.0,187.0
tt0068646,The Godfather,The Godfather,1972,1972-08-25,"Crime, Drama",175,USA,"English, Italian, Latin",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",Paramount Pictures,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,1482143,$ 6000000,$ 134966411,$ 246120974,100.0,3362.0,241.0
tt0057091,Il gattopardo,Il gattopardo,1963,1963-03-29,"Drama, History",186,"Italy, France","Italian, Latin, French",Luchino Visconti,"Giuseppe Tomasi di Lampedusa, Suso Cecchi D'Amico",Titanus,"Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa, Rina Morelli, Romolo Valli, Terence Hill, Pierre Clémenti, Lucilla Morlacchi, Giuliano Gemma, Evelyn Stewart, Ottavia Piccolo, Carlo Valenzano, Brook Fuller, Anna Maria Bottini","The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860's Sicily.",8.0,20828,ITL 2900000000,,$ 181692,100.0,104.0,112.0
tt0033467,Citizen Kane,Citizen Kane,1941,1942-04-17,"Drama, Mystery",119,USA,"English, Italian",Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,371943,$ 839727,$ 1585634,$ 1594107,100.0,1371.0,265.0
tt0056172,Lawrence of Arabia,Lawrence of Arabia,1962,1963-07-26,"Adventure, Biography, Drama",228,UK,"English, Arabic, Turkish",David Lean,"T.E. Lawrence, Robert Bolt",Horizon Pictures (II),"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin",The story of,8.3,249021,$ 15000000,$ 45306425,$ 45710874,100.0,624.0,194.0
tt0032138,The Wizard of Oz,The Wizard of Oz,1939,1940-04-12,"Adventure, Family, Fantasy",102,USA,English,"Victor Fleming, George Cukor","Noel Langley, Florence Ryerson",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,8.0,357418,$ 2777000,$ 24790250,$ 26120538,100.0,641.0,160.0
tt1065073,Boyhood,Boyhood,2014,2014-07-11,Drama,165,USA,"English, Spanish",Richard Linklater,Richard Linklater,IFC Productions,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Ethan Hawke, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power","The life of Mason, from early childhood to his arrival at college.",7.9,320400,$ 4000000,$ 25352281,$ 44495281,100.0,949.0,576.0
tt0083922,Fanny och Alexander,Fanny och Alexander,1982,1982-12-17,Drama,188,"Sweden, France, West Germany","Swedish, German, Yiddish, English, French",Ingmar Bergman,Ingmar Bergman,Cinematograph AB,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren, Carl Billquist, Axel Düberg, Allan Edwall, Siv Ericks, Ewa Fröling, Patricia Gélin, Majlis Granlund, Maria Granlund, Bertil Guve, Eva von Hanno, Sonya Hedenbratt","Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",8.1,53169,$ 6000000,$ 6783304,$ 6795771,100.0,129.0,97.0
tt0046511,Viaggio in Italia,Viaggio in Italia,1954,1954-09-08,"Drama, Romance",85,"Italy, France","English, Italian",Roberto Rossellini,"Vitaliano Brancati, Roberto Rossellini",Italia Film,"Ingrid Bergman, George Sanders, Maria Mauban, Anna Proclemer, Paul Muller, Anthony La Penna, Natalia Ray, Jackie Frost",An unhappily married couple attempts to find direction and insight while vacationing in Naples.,7.4,7837,,,,100.0,36.0,57.0
tt0038787,Notorious,Notorious,1946,1946-09-06,"Drama, Film-Noir, Romance",102,USA,"English, French, Portuguese",Alfred Hitchcock,Ben Hecht,RKO Radio Pictures,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel, Moroni Olsen, Ivan Triesault, Alexis Minotis, Wally Brown, Charles Mendl, Ricardo Costa, E.A. Krumschmidt, Fay Baker",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,7.9,86712,$ 2000000,,$ 113061,100.0,329.0,135.0
tt0052357,Vertigo,Vertigo,1958,1958-10-03,"Mystery, Romance, Thriller",128,USA,English,Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor",Alfred J. Hitchcock Productions,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,8.3,330818,$ 2479000,$ 7705225,$ 7779797,100.0,788.0,172.0
tt0111495,Trois couleurs: Rouge,Trois couleurs: Rouge,1994,1994-05-27,"Drama, Mystery, Romance",99,"Switzerland, France, Poland",French,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz",MK2 Productions,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan, Marion Stalens, Teco Celio, Bernard Escalon, Jean Schlegel, Elzbieta Jasinska, Paul Vermeulen, Jean-Marie Daunas, Roland Carey, Brigitte Raul, Leo Ramseyer",A model discovers a retired judge is keen on invading people's privacy.,8.1,82344,,$ 3581969,$ 3581969,100.0,156.0,104.0
tt0051036,Sweet Smell of Success,Sweet Smell of Success,1957,1957-10-04,"Drama, Film-Noir",96,USA,English,Alexander Mackendrick,"Clifford Odets, Ernest Lehman",Norma Productions,"Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner, Jeff Donnell, Sam Levene, Joe Frisco, Barbara Nichols, Emile Meyer, Edith Atwater, The Chico Hamilton Quintet",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,8.1,25167,$ 2600000,,$ 7336,100.0,143.0,127.0
tt0065571,Il conformista,Il conformista,1970,1971-02-17,Drama,113,"Italy, France, West Germany","Italian, French, Latin, Chinese",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci",Mars Film,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti, José Quaglio, Yvonne Sanson, Milly, Antonio Maestri, Alessandro Haber, Luciano Rossi, Massimo Sarchielli, Pierangelo Civera, Giuseppe Addobbati, Christian Aligny","A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",8.0,24130,$ 750000,$ 58657,$ 400747,100.0,110.0,127.0
tt0032910,Pinocchio,Pinocchio,1940,1940-09-06,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Productions,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",7.4,120088,$ 2600000,$ 84254167,$ 121892045,99.0,183.0,131.0
tt0048424,The Night of the Hunter,The Night of the Hunter,1955,1955-11-24,"Crime, Drama, Film-Noir",92,USA,English,Charles Laughton,"James Agee, Davis Grubb",Paul Gregory Productions,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",8.0,76733,$ 795000,,$ 2001,99.0,442.0,204.0
tt0045152,Singin' in the Rain,Singin' in the Rain,1952,1953-01-16,"Comedy, Musical, Romance",103,USA,English,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",A silent film production company and cast make a difficult transition to sound.,8.3,202701,$ 2540800,$ 1826108,$ 1864182,99.0,619.0,150.0
tt0021749,City Lights,City Lights,1931,1931-08-21,"Comedy, Drama, Romance",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,152716,$ 1500000,$ 19181,$ 32609,99.0,270.0,120.0
